timestamp,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3,temperature,humidity,dew_point,apparent_temp,precipitation,rain,pressure,cloud_cover,wind_speed,wind_dir,hour,day,month,dayofweek,is_weekend,hour_sin,hour_cos,day_sin,day_cos,co_rolling_mean_3,co_rolling_std_3,no_rolling_mean_3,no_rolling_std_3,no2_rolling_mean_3,no2_rolling_std_3,o3_rolling_mean_3,o3_rolling_std_3,so2_rolling_mean_3,so2_rolling_std_3,pm2_5_rolling_mean_3,pm2_5_rolling_std_3,pm10_rolling_mean_3,pm10_rolling_std_3,nh3_rolling_mean_3,nh3_rolling_std_3,aqi_lag_1,aqi_lag_3,aqi_lag_6,pm2_5_lag_1,pm2_5_lag_3,pm2_5_lag_6,pm10_lag_1,pm10_lag_3,pm10_lag_6,no2_to_o3_ratio,no2_to_so2,temp_humidity_index,pressure_change,rolling_pm2_5,rolling_temp
2025-10-02 09:00:00+00:00,2,134.52,0.17,1.15,77.15,4.53,15.05,26.9,0.09,30.1,68.0,23.5,34.4,0.0,0.0,1004.9,0.0,9.8,60.0,9,2,10,3,0,0.7071067811865476,-0.7071067811865475,0.39435585511331855,0.9189578116202306,134.48,0.2325940669749699,0.22000000000000006,0.05567764362829936,1.4466666666666665,0.3286842456421211,71.53333333333335,5.786919157317747,4.743333333333333,0.19756855350314298,14.043333333333335,1.0756083549942035,26.87333333333334,0.17156145642615558,0.12,0.030000000000000047,2.0,2.0,1.0,14.17,11.22,7.5,27.03,25.04,16.38,0.014906027026493492,0.2538630786174219,20.468000000000004,0.6000000000000227,14.043333333333335,28.666666666666668
2025-09-26 11:00:00+00:00,2,90.85,0.0,0.03,44.96,0.08,7.34,30.5,0.0,31.2,57.0,21.7,35.5,0.0,0.0,1008.1,53.0,7.6,225.0,11,26,9,4,0,0.258819045102521,-0.9659258262890682,-0.8486442574947509,0.5289640103269624,90.93,0.06999999997286133,0.0033333333333333335,0.005773502691896257,0.03,0.0,45.43000000000001,0.5026927491022316,0.08333333333333333,0.005773502691897884,7.363333333333333,0.02516611478436473,30.506666666666664,0.2400694344003249,0.0,0.0,2.0,2.0,2.0,7.39,7.33,7.2,30.75,29.96,28.78,0.0006672597716356813,0.374995312558593,17.784,-0.2999999999999545,7.363333333333333,30.03333333333333
2025-09-19 14:00:00+00:00,2,81.52,0.0,0.07,41.8,0.26,6.06,24.1,0.0,29.0,71.0,23.3,32.8,0.0,0.0,1006.5,83.0,14.7,233.0,14,19,9,4,0,-0.4999999999999997,-0.8660254037844388,-0.651372482722222,-0.7587581226927911,81.52666666666666,0.030550504625840646,0.0033333333333333335,0.005773502691896257,0.06,0.009999999999999964,41.4,0.4050925820102622,0.26,0.0,6.016666666666666,0.045092497528286236,23.843333333333334,0.2709858544903428,0.0,0.0,2.0,2.0,2.0,6.02,5.91,5.65,23.87,23.2,22.53,0.0016746411082621748,0.2692297337317934,20.59,-1.0,6.016666666666666,29.0
2025-09-19 00:00:00+00:00,2,83.5,0.0,0.06,42.62,0.25,6.36,27.3,0.0,26.5,93.0,25.3,32.2,0.0,0.0,1006.8,66.0,7.9,283.0,0,19,9,4,0,0.0,1.0,-0.651372482722222,-0.7587581226927911,83.37333333333333,0.17785762095658533,0.0,0.0,0.06666666666666667,0.005773502691896229,42.169999999999995,0.5139066063009797,0.26,0.010000000000003761,6.443333333333334,0.08020806277016106,27.463333333333335,0.14843629385637616,0.0,0.0,2.0,2.0,2.0,6.45,6.57,6.65,27.59,27.15,27.11,0.0014077897370298046,0.23999904000384,24.645,-0.40000000000009095,6.443333333333334,26.5
2025-09-30 05:00:00+00:00,3,92.66,0.01,0.1,53.0,0.59,16.94,76.35,0.0,28.7,71.0,23.0,33.0,0.0,0.0,999.5,57.0,8.3,33.0,5,30,9,1,0,0.9659258262890683,0.25881904510252074,-0.20129852008866114,0.9795299412524943,92.33333333333333,0.3156474826912615,0.006666666666666667,0.005773502691896258,0.11666666666666665,0.015275252316520587,52.17333333333334,0.8300200800784281,0.6033333333333334,0.011547005383807337,16.52,0.4303486958270799,78.91000000000001,2.47491413992524,0.0,0.0,3.0,3.0,3.0,16.54,15.43,16.68,79.09,79.89,82.23,0.0018867924172303319,0.1694912381504438,20.377,-0.2999999999999545,16.52,28.733333333333334
2025-10-11 04:00:00+00:00,2,97.92,0.0,0.04,62.0,0.09,7.47,24.55,0.0,24.0,82.0,20.8,27.7,0.0,0.0,1011.1,0.0,3.6,351.0,4,11,10,5,1,0.8660254037844386,0.5000000000000001,0.7907757369376989,-0.6121059825476626,97.85333333333334,0.09865765726318941,0.0,0.0,0.04,0.0,61.79666666666666,0.2159475244910448,0.08666666666666667,0.005773502687986023,7.5233333333333325,0.061101009264517364,24.75666666666667,0.2212088002927521,0.0,0.0,2.0,2.0,2.0,7.51,7.67,7.09,24.73,25.3,22.81,0.0006451612799167536,0.4444395062277086,19.68,-0.2999999999999545,7.5233333333333325,24.300000000000008
2025-10-01 19:00:00+00:00,2,139.97,0.0,1.09,75.18,1.79,14.07,21.93,0.03,31.3,63.0,23.5,36.1,0.0,0.0,1000.4,15.0,6.9,96.0,19,1,10,2,0,-0.9659258262890684,0.2588190451025203,0.20129852008866006,0.9795299412524945,146.02333333333334,6.4747303676154875,0.0,0.0,1.0066666666666666,0.07234178138070756,81.27,6.192422789183467,2.0466666666666664,0.3023794525646517,15.526666666666669,1.5239531926320327,24.180000000000007,2.431851146759946,0.04,0.010000000000000004,2.0,2.0,3.0,15.4,19.56,27.32,23.85,31.0,44.33,0.01449853665205458,0.6089382072970909,19.719,0.6000000000000227,15.526666666666669,32.50000000000001
2025-10-10 22:00:00+00:00,2,97.7,0.0,0.04,60.21,0.08,7.09,22.81,0.0,26.3,71.0,20.7,29.6,0.0,0.0,1011.7,0.0,5.7,257.0,22,10,10,4,0,-0.5000000000000004,0.8660254037844384,0.8978045395707416,-0.4403941515576344,97.58666666666666,0.09865765726356843,0.0,0.0,0.04,0.0,60.90333333333333,0.6803920438497882,0.09000000000000001,0.009999999997743229,7.463333333333332,0.3910669166947556,24.13333333333334,1.3947879169705102,0.0,0.0,2.0,2.0,2.0,7.43,8.38,9.44,24.0,27.52,31.74,0.0006643414604826199,0.499993750078124,18.673,0.20000000000004547,7.463333333333332,26.633333333333336
2025-09-26 07:00:00+00:00,2,91.46,0.01,0.03,47.45,0.1,7.31,29.69,0.0,26.1,89.0,24.1,31.4,0.0,0.0,1007.5,41.0,5.4,307.0,7,26,9,4,0,0.9659258262890683,-0.25881904510252063,-0.8486442574947509,0.5289640103269624,91.52,0.05999999996657784,0.006666666666666667,0.005773502691896258,0.04,0.010000000000000042,47.593333333333334,0.12897028081461961,0.1,0.0,7.263333333333333,0.05686240703082142,29.27666666666667,0.4606878914550852,0.0,0.0,2.0,2.0,2.0,7.28,7.13,6.77,29.36,28.2,26.47,0.0006322444545364709,0.2999970000299997,23.229,0.5,7.263333333333333,25.666666666666668
2025-10-09 03:00:00+00:00,2,93.73,0.0,0.05,58.03,0.07,8.83,45.7,0.0,24.4,92.0,23.0,29.0,0.0,0.0,1012.7,0.0,5.8,340.0,3,9,10,3,0,0.7071067811865476,0.7071067811865476,0.9680771188662043,-0.2506525322587204,93.64333333333333,0.08504900550649526,0.0,0.0,0.043333333333333335,0.0057735026909653845,56.89666666666667,1.1717223789503974,0.06333333333333334,0.005773502687975813,8.036666666666667,0.7851326851768816,41.54333333333334,4.115632798650633,0.0,0.0,2.0,2.0,2.0,8.02,6.81,7.48,41.46,34.92,38.71,0.0008616232834460921,0.7142755103498521,22.447999999999997,-0.09999999999990905,8.036666666666667,24.500000000000004
